"X","index","x","y","angle","Xo","Yo","orig.x.vec","orig.y.vec","x.part","x.partSq","y.part","y.partSq","sum.of.sq","sqrt.of.sum"
1,1,632,354.333,40,475,0,475,0,157,24649,354.333,125551.874889,150200.874889,387.557576224488
2,2,598,365,45,NA,NA,475,0,123,15129,365,133225,148354,385.16749603257
3,3,571.667,373.333,50,NA,NA,475,0,96.667,9344.50888900001,373.333,139377.528889,148722.037778,385.644963376938
4,4,552.667,379,55,NA,NA,475,0,77.667,6032.162889,379,143641,149673.162889,386.876159628634
5,5,537.667,383.667,60,NA,NA,475,0,62.667,3927.152889,383.667,147200.366889,151127.519778,388.751231223774
6,6,615.667,250.667,60,NA,NA,475,0,140.667,19787.204889,250.667,62833.944889,82621.149778,287.438949653661
7,7,524,388.333,65,NA,NA,475,0,49,2401,388.333,150802.518889,153203.518889,391.412210960517
8,8,581.667,264.667,65,NA,NA,475,0,106.667,11377.848889,264.667,70048.620889,81426.469778,285.353236845142
9,9,618,186.667,65,NA,NA,475,0,143,20449,186.667,34844.568889,55293.568889,235.145845995629
10,10,514.333,391.667,70,NA,NA,475,0,39.333,1547.084889,391.667,153403.038889,154950.123778,393.637045738838
11,11,557,275,70,NA,NA,475,0,82,6724,275,75625,82349,286.9651546791
12,12,585.667,196.333,70,NA,NA,475,0,110.667,12247.184889,196.333,38546.646889,50793.831778,225.37486944644
13,13,505,394,75,NA,NA,475,0,30,900,394,155236,156136,395.14048134809
14,14,512,368,75,NA,NA,475,0,37,1369,368,135424,136793,369.855377140849
15,15,534.333,284.333,75,NA,NA,475,0,59.333,3520.404889,284.333,80845.254889,84365.659778,290.457672954253
16,16,555.667,205,75,NA,NA,475,0,80.667,6507.16488900001,205,42025,48532.164889,220.300169970429
17,17,580.667,112.667,75,NA,NA,475,0,105.667,11165.514889,112.667,12693.852889,23859.367778,154.464778438322
18,18,592,67.667,75,NA,NA,475,0,117,13689,67.667,4578.822889,18267.822889,135.158510235205
19,19,496.333,397,80,NA,NA,475,0,21.333,455.096889000001,397,157609,158064.096889,397.572756723848
20,20,498.333,383,80,NA,NA,475,0,23.333,544.428889000001,383,146689,147233.428889,383.710084424426
21,21,514.667,292.333,80,NA,NA,475,0,39.667,1573.470889,292.333,85458.582889,87032.053778,295.011955313679
22,22,528,214,80,NA,NA,475,0,53,2809,214,45796,48605,220.465416789119
23,23,544.333,121,80,NA,NA,475,0,69.333,4807.064889,121,14641,19448.064889,139.456318928186
24,24,548.667,95.333,80,NA,NA,475,0,73.667,5426.826889,95.333,9088.380889,14515.207778,120.479076100375
25,25,487.667,399.333,85,NA,NA,475,0,12.667,160.452888999999,399.333,159466.844889,159627.297778,399.533850603425
26,26,487.667,394.333,85,NA,NA,475,0,12.667,160.452888999999,394.333,155498.514889,155658.967778,394.536396011826
27,27,495.667,300.333,85,NA,NA,475,0,20.667,427.124888999999,300.333,90199.910889,90627.035778,301.043245694037
28,28,502.333,221.333,85,NA,NA,475,0,27.333,747.092889000001,221.333,48988.296889,49735.389778,223.01432639631
29,29,506,178,85,NA,NA,475,0,31,961,178,31684,32645,180.679273852869
30,30,510,129.667,85,NA,NA,475,0,35,1225,129.667,16813.530889,18038.530889,134.307598031534
31,31,511,119.333,85,NA,NA,475,0,36,1296,119.333,14240.364889,15536.364889,124.644955329127
32,32,481.333,402.333,90,NA,NA,475,0,6.33300000000003,40.1068890000003,402.333,161871.842889,161911.949778,402.382839815517
33,33,481.667,306.667,90,NA,NA,475,0,6.66699999999997,44.4488889999996,306.667,94044.648889,94089.097778,306.73946237483
34,34,481.333,228.333,90,NA,NA,475,0,6.33300000000003,40.1068890000003,228.333,52135.958889,52176.065778,228.420808548608
35,35,481.667,137.667,90,NA,NA,475,0,6.66699999999997,44.4488889999996,137.667,18952.202889,18996.651778,137.828341708083
36,36,474,400.667,95,NA,NA,475,0,-1,1,400.667,160534.044889,160535.044889,400.668247917152
37,37,465,301.667,95,NA,NA,475,0,-10,100,301.667,91002.978889,91102.978889,301.832700165174
38,38,464.333,294.667,95,NA,NA,475,0,-10.667,113.784888999999,294.667,86828.640889,86942.425778,294.860010476158
39,39,457.667,218,95,NA,NA,475,0,-17.333,300.432889000001,218,47524,47824.432889,218.687980668806
40,40,449,127.667,95,NA,NA,475,0,-26,676,127.667,16298.862889,16974.862889,130.287616023166
41,41,447,99.667,95,NA,NA,475,0,-28,784,99.667,9933.510889,10717.510889,103.525411803093
42,42,466.667,398.333,100,NA,NA,475,0,-8.33300000000003,69.4388890000004,398.333,158669.178889,158738.617778,398.420152324151
43,43,448.667,296.667,100,NA,NA,475,0,-26.333,693.426889000001,296.667,88011.308889,88704.735778,297.833402723737
44,44,446,283,100,NA,NA,475,0,-29,841,283,80089,80930,284.4819853699
45,45,432.333,207.333,100,NA,NA,475,0,-42.667,1820.472889,207.333,42986.972889,44807.445778,211.67769315164
46,46,416.333,116.667,100,NA,NA,475,0,-58.667,3441.816889,116.667,13611.188889,17053.005778,130.587157783604
47,47,406,58,100,NA,NA,475,0,-69,4761,58,3364,8125,90.1387818865997
48,48,459,396.667,105,NA,NA,475,0,-16,256,396.667,157344.708889,157600.708889,396.989557657377
49,49,430.667,291,105,NA,NA,475,0,-44.333,1965.414889,291,84681,86646.414889,294.357630933869
50,50,425.333,269.333,105,NA,NA,475,0,-49.667,2466.810889,269.333,72540.264889,75007.075778,273.874196991977
51,51,405.333,195.333,105,NA,NA,475,0,-69.667,4853.490889,195.333,38154.980889,43008.471778,207.384839797898
