"angle","summedDistance"
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,387.557576224488
45,385.16749603257
50,385.644963376938
55,386.876159628634
60,676.190180877435
65,911.911293801288
70,905.977069864379
75,1565.37699008715
80,1556.69560827963
85,1757.75964591913
90,1075.37145244704
95,1449.86196705355
100,1413.13917323963
105,1313.62040906489
110,1058.37596863645
115,898.582725852481
120,681.218709240327
125,684.787983947546
130,386.476713399397
135,385.648155706727
140,386.944763499908
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
