,index,x,y,angle,Xo,Yo
1,1,632,354.333,40,475,0
2,2,598,365,45,,
3,3,571.667,373.333,50,,
4,4,552.667,379,55,,
5,5,537.667,383.667,60,,
6,6,615.667,250.667,60,,
7,7,524,388.333,65,,
8,8,581.667,264.667,65,,
9,9,618,186.667,65,,
10,10,514.333,391.667,70,,
11,11,557,275,70,,
12,12,585.667,196.333,70,,
13,13,505,394,75,,
14,14,512,368,75,,
15,15,534.333,284.333,75,,
16,16,555.667,205,75,,
17,17,580.667,112.667,75,,
18,18,592,67.667,75,,
19,19,496.333,397,80,,
20,20,498.333,383,80,,
21,21,514.667,292.333,80,,
22,22,528,214,80,,
23,23,544.333,121,80,,
24,24,548.667,95.333,80,,
25,25,487.667,399.333,85,,
26,26,487.667,394.333,85,,
27,27,495.667,300.333,85,,
28,28,502.333,221.333,85,,
29,29,506,178,85,,
30,30,510,129.667,85,,
31,31,511,119.333,85,,
32,32,481.333,402.333,90,,
33,33,481.667,306.667,90,,
34,34,481.333,228.333,90,,
35,35,481.667,137.667,90,,
36,36,474,400.667,95,,
37,37,465,301.667,95,,
38,38,464.333,294.667,95,,
39,39,457.667,218,95,,
40,40,449,127.667,95,,
41,41,447,99.667,95,,
42,42,466.667,398.333,100,,
43,43,448.667,296.667,100,,
44,44,446,283,100,,
45,45,432.333,207.333,100,,
46,46,416.333,116.667,100,,
47,47,406,58,100,,
48,48,459,396.667,105,,
49,49,430.667,291,105,,
50,50,425.333,269.333,105,,
51,51,405.333,195.333,105,,
52,52,382,106,105,,
53,53,449.5,394,110,,
54,54,409,283.5,110,,
55,55,372,181.5,110,,
56,56,339.5,92,110,,
57,57,438.5,390,115,,
58,58,386,276,115,,
59,59,332.5,163.5,115,,
60,60,427,387,120,,
61,61,357.5,266.5,120,,
62,62,412.5,382.5,125,,
63,63,324,256,125,,
64,64,394.5,378,130,,
65,65,371.5,371.5,135,,
66,66,337,361.5,140,,
